CO2_Limit,Generator,AP_g
10389.5182,CCGT,10070
10389.5182,Coal,462.6548494
10390.5182,Diesel,446.554613
10390.5182,OCGT,2444
10390.5182,CCGT,10070
10390.5182,Coal,465.1692773
10391.5182,Diesel,444.2386926
10391.5182,OCGT,2444
10391.5182,CCGT,10070
10391.5182,Coal,467.6837052
10392.5182,Diesel,441.9227722
10392.5182,OCGT,2444
10392.5182,CCGT,10070
10392.5182,Coal,470.198133
10393.5182,Diesel,439.6068518
10393.5182,OCGT,2444
10393.5182,CCGT,10070
10393.5182,Coal,472.7125609
10394.5182,Diesel,437.2909314
10394.5182,OCGT,2444
10394.5182,CCGT,10070
10394.5182,Coal,475.2269887
10395.5182,Diesel,434.975011
10395.5182,OCGT,2444
10395.5182,CCGT,10070
10395.5182,Coal,477.7414166
10396.5182,Diesel,432.6590906
10396.5182,OCGT,2444
10396.5182,CCGT,10070
10396.5182,Coal,480.2558445
10397.5182,Diesel,430.3431702
10397.5182,OCGT,2444
10397.5182,CCGT,10070
10397.5182,Coal,482.7702723
10398.5182,Diesel,428.0272498
10398.5182,OCGT,2444
10398.5182,CCGT,10070
10398.5182,Coal,485.2847002
10399.5182,Diesel,425.7113294
10399.5182,OCGT,2444
10399.5182,CCGT,10070
10399.5182,Coal,487.799128
10400.5182,Diesel,423.395409
10400.5182,OCGT,2444
10400.5182,CCGT,10070
10400.5182,Coal,490.3135559
10401.5182,Diesel,421.0794886
10401.5182,OCGT,2444
10401.5182,CCGT,10070
10401.5182,Coal,492.8279838
10402.5182,Diesel,418.7635682
10402.5182,OCGT,2444
10402.5182,CCGT,10070
10402.5182,Coal,495.3424116
10403.5182,Diesel,416.4476478
10403.5182,OCGT,2444
10403.5182,CCGT,10070
10403.5182,Coal,497.8568395
10404.5182,Diesel,414.1317275
10404.5182,OCGT,2444
10404.5182,CCGT,10070
10404.5182,Coal,500.3712673
10405.5182,Diesel,411.8158071
10405.5182,OCGT,2444
10405.5182,CCGT,10070
10405.5182,Coal,502.8856952
10406.5182,Diesel,409.4998867
10406.5182,OCGT,2444
10406.5182,CCGT,10070
10406.5182,Coal,505.4001231
10407.5182,Diesel,407.1839663
10407.5182,OCGT,2444
10407.5182,CCGT,10070
10407.5182,Coal,507.9145509
10408.5182,Diesel,404.8680459
10408.5182,OCGT,2444
10408.5182,CCGT,10070
10408.5182,Coal,510.4289788
10409.5182,Diesel,402.5521255
10409.5182,OCGT,2444
10409.5182,CCGT,10070
10409.5182,Coal,512.9434066
10410.5182,Diesel,400.2362051
10410.5182,OCGT,2444
10410.5182,CCGT,10070
10410.5182,Coal,515.4578345
10411.5182,Diesel,397.9202847
10411.5182,OCGT,2444
10411.5182,CCGT,10070
10411.5182,Coal,517.9722624
10412.5182,Diesel,395.6043643
10412.5182,OCGT,2444
10412.5182,CCGT,10070
10412.5182,Coal,520.4866902
10413.5182,Diesel,393.2884439
10413.5182,OCGT,2444
10413.5182,CCGT,10070
10413.5182,Coal,523.0011181
10414.5182,Diesel,390.9725235
10414.5182,OCGT,2444
10414.5182,CCGT,10070
10414.5182,Coal,525.5155459
10415.5182,Diesel,388.6566031
10415.5182,OCGT,2444
10415.5182,CCGT,10070
10415.5182,Coal,528.0299738
10416.5182,Diesel,386.3406827
10416.5182,OCGT,2444
10416.5182,CCGT,10070
10416.5182,Coal,530.5444017
10417.5182,Diesel,384.0247623
10417.5182,OCGT,2444
10417.5182,CCGT,10070
10417.5182,Coal,533.0588295
10418.5182,Diesel,381.7088419
10418.5182,OCGT,2444
10418.5182,CCGT,10070
10418.5182,Coal,535.5732574
10419.5182,Diesel,379.3929215
10419.5182,OCGT,2444
10419.5182,CCGT,10070
10419.5182,Coal,538.0876852
10420.5182,Diesel,377.0770011
10420.5182,OCGT,2444
10420.5182,CCGT,10070
10420.5182,Coal,540.6021131
10421.5182,Diesel,374.7610807
10421.5182,OCGT,2444
10421.5182,CCGT,10070
10421.5182,Coal,543.116541
10422.5182,Diesel,372.4451603
10422.5182,OCGT,2444
10422.5182,CCGT,10070
10422.5182,Coal,545.6309688
10423.5182,Diesel,370.1292399
10423.5182,OCGT,2444
10423.5182,CCGT,10070
10423.5182,Coal,548.1453967
10424.5182,Diesel,367.8133195
