CO2_Limit,AC
3206.7305,1002000
3207.7305,1002000
3208.7305,1002000
3209.7305,1002000
3210.7305,1002000
3211.7305,1002000
3212.7305,1002000
3213.7305,1002000
3214.7305,1002000
3215.7305,1002000
3216.7305,1002000
3217.7305,1002000
3218.7305,1002000
3219.7305,1002000
3220.7305,1002000
3221.7305,1002000
3222.7305,1002000
3223.7305,1002000
3224.7305,1002000
3225.7305,1002000
3226.7305,1002000
3227.7305,1002000
3228.7305,1002000
3229.7305,1002000
3230.7305,1002000
3231.7305,1002000
3232.7305,1002000
3233.7305,1002000
3234.7305,1002000
3235.7305,1002000
3236.7305,1002000
3237.7305,1002000
3238.7305,1002000
3239.7305,1002000
3240.7305,1002000
3241.7305,1002000
3242.7305,1002000
3243.7305,1002000
3244.7305,1002000
3245.7305,1002000
3246.7305,1002000
3247.7305,1002000
3248.7305,1002000
3249.7305,1002000
3250.7305,1002000
3251.7305,1002000
3252.7305,1002000
3253.7305,1002000
3254.7305,1002000
3255.7305,1002000
3256.7305,1002000
3257.7305,1002000
3258.7305,1002000
3259.7305,1002000
3260.7305,1002000
3261.7305,1002000
3262.7305,1002000
3263.7305,1002000
3264.7305,1002000
3265.7305,1002000
3266.7305,1002000
3267.7305,1002000
3268.7305,1002000
3269.7305,1002000
3270.7305,1002000
3271.7305,1002000
3272.7305,1002000
3273.7305,1002000
3274.7305,1002000
3275.7305,1002000
3276.7305,1002000
3277.7305,1002000
3278.7305,1002000
3279.7305,1002000
3280.7305,1002000
3281.7305,1002000
3282.7305,1002000
3283.7305,1002000
3284.7305,1002000
3285.7305,1002000
3286.7305,1002000
3287.7305,1002000
3288.7305,1002000
3289.7305,1002000
3290.7305,1002000
3291.7305,1002000
3292.7305,1002000
3293.7305,1002000
3294.7305,1002000
3295.7305,1002000
3296.7305,1002000
3297.7305,1002000
3298.7305,1002000
3299.7305,1002000
3300.7305,1002000
3301.7305,1002000
3302.7305,1002000
3303.7305,1002000
3304.7305,1002000
3305.7305,1002000
3306.7305,1002000
3307.7305,1002000
3308.7305,1002000
3309.7305,1002000
3310.7305,1002000
3311.7305,1002000
3312.7305,1002000
3313.7305,1002000
3314.7305,1002000
3315.7305,1002000
3316.7305,1002000
3317.7305,1002000
3318.7305,1002000
3319.7305,1002000
3320.7305,1002000
3321.7305,1002000
3322.7305,1002000
3323.7305,1002000
3324.7305,1002000
3325.7305,1002000
3326.7305,1002000
3327.7305,1002000
3328.7305,1002000
3329.7305,1002000
3330.7305,1002000
3331.7305,1002000
3332.7305,1002000
3333.7305,1002000
3334.7305,1002000
3335.7305,1002000
3336.7305,1002000
3337.7305,1002000
3338.7305,1002000
3339.7305,1002000
3340.7305,1002000
3341.7305,1002000
3342.7305,1002000
3343.7305,1002000
3344.7305,1002000
3345.7305,1002000
3346.7305,1002000
3347.7305,1002000
3348.7305,1002000
3349.7305,1002000
3350.7305,1002000
3351.7305,1002000
3352.7305,1002000
3353.7305,1002000
3354.7305,1002000
3355.7305,1002000
3356.7305,1002000
3357.7305,1002000
3358.7305,1002000
3359.7305,1002000
3360.7305,1002000
3361.7305,1002000
3362.7305,1002000
3363.7305,1002000
3364.7305,1002000
3365.7305,1002000
3366.7305,1002000
3367.7305,1002000
3368.7305,1002000
3369.7305,1002000
3370.7305,1002000
3371.7305,1002000
3372.7305,1002000
3373.7305,1002000
3374.7305,1002000
3375.7305,1002000
3376.7305,1002000
3377.7305,1002000
3378.7305,1002000
3379.7305,1002000
3380.7305,1002000
3381.7305,1002000
3382.7305,1002000
3383.7305,1002000
3384.7305,1002000
3385.7305,1002000
3386.7305,1002000
3387.7305,1002000
3388.7305,1002000
3389.7305,1002000
3390.7305,1002000
3391.7305,1002000
3392.7305,1002000
3393.7305,1002000
3394.7305,1002000
3395.7305,1002000
3396.7305,1002000
3397.7305,1002000
3398.7305,1002000
3399.7305,1002000
3400.7305,1002000
3401.7305,1002000
3402.7305,1002000
3403.7305,1002000
3404.7305,1002000
3405.7305,1002000
3406.7305,1002000
3407.7305,1002000
3408.7305,1002000
3409.7305,1002000
3410.7305,1002000
3411.7305,1002000
3412.7305,1002000
3413.7305,1002000
3414.7305,1002000
3415.7305,1002000
3416.7305,1002000
3417.7305,1002000
3418.7305,1002000
3419.7305,1002000
3420.7305,1002000
3421.7305,1002000
3422.7305,1002000
3423.7305,1002000
3424.7305,1002000
3425.7305,1002000
3426.7305,1002000
3427.7305,1002000
3428.7305,1002000
3429.7305,1002000
3430.7305,1002000
3431.7305,1002000
3432.7305,1002000
3433.7305,1002000
3434.7305,1002000
3435.7305,1002000
3436.7305,1002000
3437.7305,1002000
3438.7305,1002000
3439.7305,1002000
3440.7305,1002000
3441.7305,1002000
3442.7305,1002000
3443.7305,1002000
3444.7305,1002000
3445.7305,1002000
3446.7305,1002000
3447.7305,1002000
3448.7305,1002000
3449.7305,1002000
3450.7305,1002000
3451.7305,1002000
3452.7305,1002000
3453.7305,1002000
3454.7305,1002000
3455.7305,1002000
3456.7305,1002000
3457.7305,1002000
3458.7305,1002000
3459.7305,1002000
3460.7305,1002000
3461.7305,1002000
3462.7305,1002000
