CO2_Limit,Generator,AP_g
2397.7305,Diesel,1613.593881
2397.7305,OCGT,4700
2397.7305,CCGT,6407.557837
2397.7305,Coal,0
2398.7305,Diesel,1584.256077
2398.7305,OCGT,4700
2398.7305,CCGT,6451.983655
2398.7305,Coal,0
2399.7305,Diesel,1554.918273
2399.7305,OCGT,4700
2399.7305,CCGT,6496.409472
2399.7305,Coal,0
2400.7305,Diesel,1525.580469
2400.7305,OCGT,4700
2400.7305,CCGT,6540.835289
2400.7305,Coal,0
2401.7305,Diesel,1496.242666
2401.7305,OCGT,4700
2401.7305,CCGT,6585.261106
2401.7305,Coal,0
2402.7305,Diesel,1466.904862
2402.7305,OCGT,4700
2402.7305,CCGT,6629.686924
2402.7305,Coal,0
2403.7305,Diesel,1437.567058
2403.7305,OCGT,4700
2403.7305,CCGT,6674.112741
2403.7305,Coal,0
2404.7305,Diesel,1408.229254
2404.7305,OCGT,4700
2404.7305,CCGT,6718.538558
2404.7305,Coal,0
2405.7305,Diesel,1378.89145
2405.7305,OCGT,4700
2405.7305,CCGT,6762.964376
2405.7305,Coal,0
2406.7305,Diesel,1349.553646
2406.7305,OCGT,4700
2406.7305,CCGT,6807.390193
2406.7305,Coal,0
2407.7305,Diesel,1320.215842
2407.7305,OCGT,4700
2407.7305,CCGT,6851.81601
2407.7305,Coal,0
2408.7305,Diesel,1290.878039
2408.7305,OCGT,4700
2408.7305,CCGT,6896.241827
2408.7305,Coal,0
2409.7305,Diesel,1261.540235
2409.7305,OCGT,4700
2409.7305,CCGT,6940.667645
2409.7305,Coal,0
2410.7305,Diesel,1232.202431
2410.7305,OCGT,4700
2410.7305,CCGT,6985.093462
2410.7305,Coal,0
2411.7305,Diesel,1202.864627
2411.7305,OCGT,4700
2411.7305,CCGT,7029.519279
2411.7305,Coal,0
2412.7305,Diesel,1173.526823
2412.7305,OCGT,4700
2412.7305,CCGT,7073.945096
2412.7305,Coal,0
2413.7305,Diesel,1144.189019
2413.7305,OCGT,4700
2413.7305,CCGT,7118.370914
2413.7305,Coal,0
2414.7305,Diesel,1114.851215
2414.7305,OCGT,4700
2414.7305,CCGT,7162.796731
2414.7305,Coal,0
2415.7305,Diesel,1085.513412
2415.7305,OCGT,4700
2415.7305,CCGT,7207.222548
2415.7305,Coal,0
2416.7305,Diesel,1056.175608
2416.7305,OCGT,4700
2416.7305,CCGT,7251.648365
2416.7305,Coal,0
2417.7305,Diesel,1026.837804
2417.7305,OCGT,4700
2417.7305,CCGT,7296.074183
2417.7305,Coal,0
2418.7305,Diesel,997.5
2418.7305,OCGT,4700
2418.7305,CCGT,7340.5
2418.7305,Coal,0
2419.7305,Diesel,968.1621961
2419.7305,OCGT,4700
2419.7305,CCGT,7384.925817
2419.7305,Coal,0
2420.7305,Diesel,938.8243923
2420.7305,OCGT,4700
2420.7305,CCGT,7429.351635
2420.7305,Coal,0
2421.7305,Diesel,909.4865884
2421.7305,OCGT,4700
2421.7305,CCGT,7473.777452
2421.7305,Coal,0
2422.7305,Diesel,880.1487846
2422.7305,OCGT,4700
2422.7305,CCGT,7518.203269
2422.7305,Coal,0
2423.7305,Diesel,867.1668024
2423.7305,OCGT,4700
2423.7305,CCGT,7526
2423.7305,Coal,8.504614549
2424.7305,Diesel,857.6662595
2424.7305,OCGT,4700
2424.7305,CCGT,7526
2424.7305,Coal,18.81948969
2425.7305,Diesel,848.1657166
2425.7305,OCGT,4700
2425.7305,CCGT,7526
2425.7305,Coal,29.13436482
2426.7305,Diesel,838.6651737
2426.7305,OCGT,4700
2426.7305,CCGT,7526
2426.7305,Coal,39.44923996
2427.7305,Diesel,829.1646308
2427.7305,OCGT,4700
2427.7305,CCGT,7526
2427.7305,Coal,49.76411509
2428.7305,Diesel,819.6640879
2428.7305,OCGT,4700
2428.7305,CCGT,7526
2428.7305,Coal,60.07899023
2429.7305,Diesel,810.1635451
2429.7305,OCGT,4700
2429.7305,CCGT,7526
2429.7305,Coal,70.39386536
2430.7305,Diesel,800.6630022
2430.7305,OCGT,4700
2430.7305,CCGT,7526
2430.7305,Coal,80.7087405
2431.7305,Diesel,791.1624593
2431.7305,OCGT,4700
2431.7305,CCGT,7526
2431.7305,Coal,91.02361564
2432.7305,Diesel,781.6619164
2432.7305,OCGT,4700
2432.7305,CCGT,7526
2432.7305,Coal,101.3384908
2433.7305,Diesel,772.1613735
2433.7305,OCGT,4700
2433.7305,CCGT,7526
2433.7305,Coal,111.6533659
2434.7305,Diesel,762.6608306
2434.7305,OCGT,4700
2434.7305,CCGT,7526
2434.7305,Coal,121.968241
2435.7305,Diesel,753.1602877
2435.7305,OCGT,4700
2435.7305,CCGT,7526
2435.7305,Coal,132.2831162
2436.7305,Diesel,743.6597448
2436.7305,OCGT,4700
2436.7305,CCGT,7526
2436.7305,Coal,142.5979913
2437.7305,Diesel,734.159202
2437.7305,OCGT,4700
2437.7305,CCGT,7526
2437.7305,Coal,152.9128664
2438.7305,Diesel,724.6586591
2438.7305,OCGT,4700
2438.7305,CCGT,7526
2438.7305,Coal,163.2277416
2439.7305,Diesel,715.1581162
2439.7305,OCGT,4700
2439.7305,CCGT,7526
2439.7305,Coal,173.5426167
2440.7305,Diesel,705.6575733
2440.7305,OCGT,4700
2440.7305,CCGT,7526
2440.7305,Coal,183.8574919
2441.7305,Diesel,696.1570304
2441.7305,OCGT,4700
2441.7305,CCGT,7526
2441.7305,Coal,194.172367
2442.7305,Diesel,686.6564875
2442.7305,OCGT,4700
2442.7305,CCGT,7526
2442.7305,Coal,204.4872421
2443.7305,Diesel,677.1559446
2443.7305,OCGT,4700
2443.7305,CCGT,7526
2443.7305,Coal,214.8021173
2444.7305,Diesel,667.6554017
2444.7305,OCGT,4700
2444.7305,CCGT,7526
2444.7305,Coal,225.1169924
2445.7305,Diesel,658.1548588
2445.7305,OCGT,4700
2445.7305,CCGT,7526
2445.7305,Coal,235.4318675
2446.7305,Diesel,648.654316
2446.7305,OCGT,4700
2446.7305,CCGT,7526
2446.7305,Coal,245.7467427
2447.7305,Diesel,639.1537731
2447.7305,OCGT,4700
2447.7305,CCGT,7526
2447.7305,Coal,256.0616178
2448.7305,Diesel,629.6532302
2448.7305,OCGT,4700
2448.7305,CCGT,7526
2448.7305,Coal,266.3764929
2449.7305,Diesel,620.1526873
2449.7305,OCGT,4700
2449.7305,CCGT,7526
2449.7305,Coal,276.6913681
2450.7305,Diesel,610.6521444
2450.7305,OCGT,4700
2450.7305,CCGT,7526
2450.7305,Coal,287.0062432
2451.7305,Diesel,601.1516015
2451.7305,OCGT,4700
2451.7305,CCGT,7526
2451.7305,Coal,297.3211183
2452.7305,Diesel,591.6510586
2452.7305,OCGT,4700
2452.7305,CCGT,7526
2452.7305,Coal,307.6359935
2453.7305,Diesel,582.1505157
2453.7305,OCGT,4700
2453.7305,CCGT,7526
2453.7305,Coal,317.9508686
2454.7305,Diesel,572.6499729
2454.7305,OCGT,4700
2454.7305,CCGT,7526
2454.7305,Coal,328.2657438
2455.7305,Diesel,563.14943
2455.7305,OCGT,4700
2455.7305,CCGT,7526
2455.7305,Coal,338.5806189
2456.7305,Diesel,553.6488871
2456.7305,OCGT,4700
2456.7305,CCGT,7526
2456.7305,Coal,348.895494
2457.7305,Diesel,544.1483442
2457.7305,OCGT,4700
2457.7305,CCGT,7526
2457.7305,Coal,359.2103692
2458.7305,Diesel,534.6478013
2458.7305,OCGT,4700
2458.7305,CCGT,7526
2458.7305,Coal,369.5252443
2459.7305,Diesel,525.1472584
2459.7305,OCGT,4700
2459.7305,CCGT,7526
2459.7305,Coal,379.8401194
2460.7305,Diesel,515.6467155
2460.7305,OCGT,4700
2460.7305,CCGT,7526
2460.7305,Coal,390.1549946
2461.7305,Diesel,506.1461726
2461.7305,OCGT,4700
2461.7305,CCGT,7526
2461.7305,Coal,400.4698697
2462.7305,Diesel,496.6456298
2462.7305,OCGT,4700
2462.7305,CCGT,7526
2462.7305,Coal,410.7847448
2463.7305,Diesel,487.1450869
2463.7305,OCGT,4700
2463.7305,CCGT,7526
2463.7305,Coal,421.09962
2464.7305,Diesel,477.644544
2464.7305,OCGT,4700
2464.7305,CCGT,7526
2464.7305,Coal,431.4144951
2465.7305,Diesel,468.1440011
2465.7305,OCGT,4700
2465.7305,CCGT,7526
2465.7305,Coal,441.7293702
2466.7305,Diesel,458.6434582
2466.7305,OCGT,4700
2466.7305,CCGT,7526
2466.7305,Coal,452.0442454
2467.7305,Diesel,449.1429153
2467.7305,OCGT,4700
2467.7305,CCGT,7526
2467.7305,Coal,462.3591205
2468.7305,Diesel,439.6423724
2468.7305,OCGT,4700
2468.7305,CCGT,7526
2468.7305,Coal,472.6739957
2469.7305,Diesel,430.1418295
2469.7305,OCGT,4700
2469.7305,CCGT,7526
2469.7305,Coal,482.9888708
2470.7305,Diesel,420.6412866
2470.7305,OCGT,4700
2470.7305,CCGT,7526
2470.7305,Coal,493.3037459
2471.7305,Diesel,411.1407438
2471.7305,OCGT,4700
2471.7305,CCGT,7526
2471.7305,Coal,503.6186211
2472.7305,Diesel,401.6402009
2472.7305,OCGT,4700
2472.7305,CCGT,7526
2472.7305,Coal,513.9334962
2473.7305,Diesel,392.139658
2473.7305,OCGT,4700
2473.7305,CCGT,7526
2473.7305,Coal,524.2483713
2474.7305,Diesel,382.6391151
2474.7305,OCGT,4700
2474.7305,CCGT,7526
2474.7305,Coal,534.5632465
2475.7305,Diesel,373.1385722
2475.7305,OCGT,4700
2475.7305,CCGT,7526
2475.7305,Coal,544.8781216
2476.7305,Diesel,363.6380293
2476.7305,OCGT,4700
2476.7305,CCGT,7526
2476.7305,Coal,555.1929967
2477.7305,Diesel,354.1374864
2477.7305,OCGT,4700
2477.7305,CCGT,7526
2477.7305,Coal,565.5078719
2478.7305,Diesel,344.6369435
2478.7305,OCGT,4700
2478.7305,CCGT,7526
2478.7305,Coal,575.822747
2479.7305,Diesel,335.1364007
2479.7305,OCGT,4700
2479.7305,CCGT,7526
2479.7305,Coal,586.1376221
2480.7305,Diesel,325.6358578
2480.7305,OCGT,4700
2480.7305,CCGT,7526
2480.7305,Coal,596.4524973
2481.7305,Diesel,316.1353149
2481.7305,OCGT,4700
2481.7305,CCGT,7526
2481.7305,Coal,606.7673724
2482.7305,Diesel,306.634772
2482.7305,OCGT,4700
2482.7305,CCGT,7526
2482.7305,Coal,617.0822476
2483.7305,Diesel,297.1342291
2483.7305,OCGT,4700
2483.7305,CCGT,7526
2483.7305,Coal,627.3971227
2484.7305,Diesel,287.6336862
2484.7305,OCGT,4700
2484.7305,CCGT,7526
2484.7305,Coal,637.7119978
2485.7305,Diesel,278.1331433
2485.7305,OCGT,4700
2485.7305,CCGT,7526
2485.7305,Coal,648.026873
2486.7305,Diesel,268.6326004
2486.7305,OCGT,4700
